313.204, 129.489, 3.570,  2.247 False
313.144, 129.489, 3.586,  2.264 False
313.084, 129.489, 3.603,  2.281 False
313.024, 129.489, 3.619,  2.298 False
312.963, 129.489, 3.636,  2.315 False
312.902, 129.489, 3.654,  2.332 False
312.841, 129.489, 3.671,  2.349 False
312.780, 129.489, 3.689,  2.366 False
312.718, 129.489, 3.708,  2.383 False
312.656, 129.489, 3.727,  2.400 False
312.593, 129.489, 3.746,  2.417 False
312.531, 129.489, 3.765,  2.434 False
312.468, 129.489, 3.784,  2.451 False
312.404, 129.489, 3.805,  2.468 False
312.340, 129.489, 3.825,  2.485 False
312.276, 129.489, 3.846,  2.502 False
312.212, 129.489, 3.867,  2.519 False
312.147, 129.489, 3.888,  2.536 False
312.082, 129.489, 3.909,  2.553 False
312.016, 129.489, 3.931,  2.570 False
311.950, 129.489, 3.952,  2.587 False
311.884, 129.489, 3.973,  2.604 False
311.818, 129.489, 3.994,  2.621 False
311.751, 129.489, 4.015,  2.638 False
311.683, 129.489, 4.036,  2.655 False
311.616, 129.489, 4.057,  2.672 False
311.548, 129.489, 4.078,  2.689 False
311.479, 129.489, 4.098,  2.706 False
311.411, 129.489, 4.118,  2.723 False
311.342, 129.489, 4.138,  2.740 False
311.272, 129.489, 4.157,  2.757 False
311.203, 129.489, 4.176,  2.774 False
311.133, 129.489, 4.196,  2.791 False
311.063, 129.489, 4.214,  2.808 False
310.992, 129.489, 4.233,  2.825 False
310.921, 129.489, 4.251,  2.842 False
310.850, 129.489, 4.270,  2.859 False
310.779, 129.489, 4.288,  2.876 False
310.707, 129.489, 4.306,  2.893 False
310.635, 129.489, 4.323,  2.910 False
310.563, 129.489, 4.341,  2.927 False
310.490, 129.489, 4.358,  2.944 False
310.417, 129.489, 4.375,  2.961 False
310.344, 129.489, 4.392,  2.978 False
310.270, 129.489, 4.409,  2.995 False
310.197, 129.489, 4.426,  3.012 False
310.123, 129.489, 4.443,  3.029 False
310.048, 129.489, 4.460,  3.046 False
309.974, 129.489, 4.477,  3.063 False
309.899, 129.489, 4.493,  3.080 False
309.824, 129.489, 4.510,  3.097 False
309.748, 129.489, 4.527,  3.114 False
309.673, 129.489, 4.544,  3.131 False
309.597, 129.489, 4.561,  3.148 False
309.520, 129.489, 4.578,  3.165 False
309.444, 129.489, 4.595,  3.182 False
309.367, 129.489, 4.612,  3.199 False
309.290, 129.489, 4.629,  3.216 False
309.212, 129.489, 4.647,  3.233 False
309.135, 129.489, 4.664,  3.250 False
309.057, 129.489, 4.682,  3.267 False
308.978, 129.489, 4.699,  3.284 False
308.900, 129.489, 4.717,  3.301 False
308.821, 129.489, 4.734,  3.318 False
308.741, 129.489, 4.752,  3.335 False
308.662, 129.489, 4.770,  3.352 False
308.582, 129.489, 4.788,  3.369 False
308.502, 129.489, 4.805,  3.386 False
308.422, 129.489, 4.823,  3.403 False
308.341, 129.489, 4.841,  3.420 False
308.260, 129.489, 4.859,  3.437 False
308.179, 129.489, 4.876,  3.454 False
308.097, 129.489, 4.894,  3.471 False
308.015, 129.489, 4.912,  3.488 False
307.933, 129.489, 4.930,  3.505 False
